"id","Symbol","Description","KEGG_A_class","KEGG_B_class","Pathway","K_ID","GO.Component","GO.Function","GO.Process","TF_family"
"ENSMUSG00000048376","F2r","coagulation factor II (thrombin) receptor [Source:MGI Symbol;Acc:MGI:101802]","Human Diseases;Environmental Information Processing;Environmental Information Processing;Human Diseases;Environmental Information Processing;Environmental Information Processing;Environmental Information Processing;Cellular Processes;Environmental Information Processing;Organismal Systems;Organismal Systems","Cancer: overview;Signal transduction;Signaling molecules and interaction;Infectious disease: bacterial;Signal transduction;Signal transduction;Signal transduction;Cell motility;Signal transduction;Immune system;Immune system","ko05200//Pathways in cancer;ko04151//PI3K-Akt signaling pathway;ko04080//Neuroactive ligand-receptor interaction;ko05130//Pathogenic Escherichia coli infection;ko04020//Calcium signaling pathway;ko04072//Phospholipase D signaling pathway;ko04015//Rap1 signaling pathway;ko04810//Regulation of actin cytoskeleton;ko04024//cAMP signaling pathway;ko04611//Platelet activation;ko04610//Complement and coagulation cascades","K03914;K03914;K03914;K03914;K03914;K03914;K03914;K03914;K03914;K03914;K03914","GO:0016021//integral component of membrane","GO:0004930//G-protein coupled receptor activity;GO:0015057//thrombin receptor activity","GO:0007186//G-protein coupled receptor signaling pathway;GO:0007596//blood coagulation;GO:0070493//thrombin receptor signaling pathway","--"
"ENSMUSG00000021675","F2rl2","coagulation factor II (thrombin) receptor-like 2 [Source:MGI Symbol;Acc:MGI:1298208]","Environmental Information Processing;Organismal Systems","Signaling molecules and interaction;Immune system","ko04080//Neuroactive ligand-receptor interaction;ko04610//Complement and coagulation cascades","K04235;K04235","GO:0016021//integral component of membrane","GO:0004930//G-protein coupled receptor activity;GO:0015057//thrombin receptor activity","GO:0007186//G-protein coupled receptor signaling pathway;GO:0007596//blood coagulation;GO:0070493//thrombin receptor signaling pathway","--"
"ENSMUSG00000050147","F2rl3","coagulation factor II (thrombin) receptor-like 3 [Source:MGI Symbol;Acc:MGI:1298207]","Human Diseases;Environmental Information Processing;Environmental Information Processing;Organismal Systems;Organismal Systems","Cancer: overview;Signaling molecules and interaction;Signal transduction;Immune system;Immune system","ko05200//Pathways in cancer;ko04080//Neuroactive ligand-receptor interaction;ko04015//Rap1 signaling pathway;ko04611//Platelet activation;ko04610//Complement and coagulation cascades","K04236;K04236;K04236;K04236;K04236","GO:0016021//integral component of membrane","GO:0004930//G-protein coupled receptor activity;GO:0015057//thrombin receptor activity","GO:0007186//G-protein coupled receptor signaling pathway;GO:0007596//blood coagulation;GO:0070493//thrombin receptor signaling pathway","--"
"ENSMUSG00000028128","F3","coagulation factor III [Source:MGI Symbol;Acc:MGI:88381]","Human Diseases;Organismal Systems","Endocrine and metabolic disease;Immune system","ko04933//AGE-RAGE signaling pathway in diabetic complications;ko04610//Complement and coagulation cascades","K03901;K03901","GO:0016021//integral component of membrane","GO:0005515//protein binding","GO:0007596//blood coagulation","--"
"ENSMUSG00000026579","F5","coagulation factor V [Source:MGI Symbol;Acc:MGI:88382]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K03902","-","GO:0005507//copper ion binding","-","--"
"ENSMUSG00000031443","F7","coagulation factor VII [Source:MGI Symbol;Acc:MGI:109325]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K01320","GO:0005576//extracellular region","GO:0004252//serine-type endopeptidase activity;GO:0005509//calcium ion binding","GO:0006508//proteolysis;GO:0007596//blood coagulation","--"
"ENSMUSG00000031196","F8","coagulation factor VIII [Source:MGI Symbol;Acc:MGI:88383]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K03899","-","GO:0005507//copper ion binding;GO:0016491//oxidoreductase activity","GO:0055114//oxidation-reduction process","--"
"ENSMUSG00000031138","F9","coagulation factor IX [Source:MGI Symbol;Acc:MGI:88384]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K01321","GO:0005576//extracellular region","GO:0004252//serine-type endopeptidase activity;GO:0005509//calcium ion binding","GO:0006508//proteolysis;GO:0007596//blood coagulation","--"
"ENSMUSG00000007570","FANCE","Fanconi anemia, complementation group E [Source:MGI Symbol;Acc:MGI:1920025]","Genetic Information Processing","Replication and repair","ko03460//Fanconi anemia pathway","K10892","GO:0043240//Fanconi anaemia nuclear complex","-","GO:0036297//interstrand cross-link repair","--"
"ENSMUSG00000032815","Fanca","Fanconi anemia, complementation group A [Source:MGI Symbol;Acc:MGI:1341823]","Genetic Information Processing","Replication and repair","ko03460//Fanconi anemia pathway","K10888","GO:0043240//Fanconi anaemia nuclear complex","-","GO:0036297//interstrand cross-link repair","--"
"ENSMUSG00000047757","Fancb","Fanconi anemia, complementation group B [Source:MGI Symbol;Acc:MGI:2448558]","Genetic Information Processing","Replication and repair","ko03460//Fanconi anemia pathway","K10889","GO:0043240//Fanconi anaemia nuclear complex","-","GO:0036297//interstrand cross-link repair","--"
"ENSMUSG00000021461","Fancc","Fanconi anemia, complementation group C [Source:MGI Symbol;Acc:MGI:95480]","Genetic Information Processing","Replication and repair","ko03460//Fanconi anemia pathway","K10890","GO:0043240//Fanconi anaemia nuclear complex","-","GO:0036297//interstrand cross-link repair","--"
"ENSMUSG00000034023","Fancd2","Fanconi anemia, complementation group D2 [Source:MGI Symbol;Acc:MGI:2448480]","Genetic Information Processing","Replication and repair","ko03460//Fanconi anemia pathway","K10891","-","-","GO:0006281//DNA repair","--"
"ENSMUSG00000092118","Fancf","Fanconi anemia, complementation group F [Source:MGI Symbol;Acc:MGI:3689889]","Genetic Information Processing","Replication and repair","ko03460//Fanconi anemia pathway","K10893","GO:0043240//Fanconi anaemia nuclear complex","-","GO:0036297//interstrand cross-link repair","--"
"ENSMUSG00000028453","Fancg","Fanconi anemia, complementation group G [Source:MGI Symbol;Acc:MGI:1926471]","Genetic Information Processing","Replication and repair","ko03460//Fanconi anemia pathway","K10894","GO:0043240//Fanconi anaemia nuclear complex","GO:0005515//protein binding","GO:0036297//interstrand cross-link repair","--"
"ENSMUSG00000039187","Fanci","Fanconi anemia, complementation group I [Source:MGI Symbol;Acc:MGI:2384790]","Genetic Information Processing","Replication and repair","ko03460//Fanconi anemia pathway","K10895","-","-","GO:0006281//DNA repair","--"
"ENSMUSG00000004018","Fancl","Fanconi anemia, complementation group L [Source:MGI Symbol;Acc:MGI:1914280]","Genetic Information Processing;Genetic Information Processing","Folding, sorting and degradation;Replication and repair","ko04120//Ubiquitin mediated proteolysis;ko03460//Fanconi anemia pathway","K10606;K10606","GO:0043240//Fanconi anaemia nuclear complex","GO:0004842//ubiquitin-protein transferase activity","GO:0036297//interstrand cross-link repair","--"
"ENSMUSG00000055884","Fancm","Fanconi anemia, complementation group M [Source:MGI Symbol;Acc:MGI:2442306]","Genetic Information Processing","Replication and repair","ko03460//Fanconi anemia pathway","K10896","-","GO:0003677//DNA binding;GO:0004518//nuclease activity;GO:0005524//ATP binding;GO:0016787//hydrolase activity","-","--"
"ENSMUSG00000026938","Fcn1","ficolin A [Source:MGI Symbol;Acc:MGI:1340905]","-","-","-","-","-","-","-","--"
"ENSMUSG00000026835","Fcn2","ficolin B [Source:MGI Symbol;Acc:MGI:1341158]","-","-","-","-","-","-","-","--"
"ENSMUSG00000028001","Fga","fibrinogen alpha chain [Source:MGI Symbol;Acc:MGI:1316726]","Organismal Systems;Organismal Systems","Immune system;Immune system","ko04611//Platelet activation;ko04610//Complement and coagulation cascades","K03903;K03903","GO:0005577//fibrinogen complex","GO:0005102//receptor binding","GO:0007596//blood coagulation;GO:0030168//platelet activation;GO:0051258//protein polymerization","--"
"ENSMUSG00000033831","Fgb","fibrinogen beta chain [Source:MGI Symbol;Acc:MGI:99501]","Organismal Systems;Organismal Systems","Immune system;Immune system","ko04611//Platelet activation;ko04610//Complement and coagulation cascades","K03904;K03904","GO:0005577//fibrinogen complex","GO:0005102//receptor binding","GO:0007596//blood coagulation;GO:0030168//platelet activation;GO:0051258//protein polymerization","--"
"ENSMUSG00000033860","Fgg","fibrinogen gamma chain [Source:MGI Symbol;Acc:MGI:95526]","Human Diseases;Organismal Systems;Organismal Systems","Infectious disease: bacterial;Immune system;Immune system","ko05150//Staphylococcus aureus infection;ko04611//Platelet activation;ko04610//Complement and coagulation cascades","K03905;K03905;K03905","GO:0005577//fibrinogen complex","GO:0005102//receptor binding","GO:0007596//blood coagulation;GO:0030168//platelet activation;GO:0051258//protein polymerization","--"
"ENSMUSG00000030786","Itgam","integrin alpha M [Source:MGI Symbol;Acc:MGI:96607]","Cellular Processes;Human Diseases;Human Diseases;Human Diseases;Human Diseases;Environmental Information Processing;Cellular Processes;Organismal Systems;Human Diseases;Environmental Information Processing;Organismal Systems;Organismal Systems;Human Diseases;Human Diseases;Human Diseases","Transport and catabolism;Cancer: overview;Infectious disease: bacterial;Infectious disease: bacterial;Infectious disease: parasitic;Signal transduction;Cell motility;Immune system;Infectious disease: parasitic;Signaling molecules and interaction;Immune system;Immune system;Infectious disease: bacterial;Cancer: specific types;Infectious disease: bacterial","ko04145//Phagosome;ko05202//Transcriptional misregulation in cancer;ko05152//Tuberculosis;ko05150//Staphylococcus aureus infection;ko05146//Amoebiasis;ko04015//Rap1 signaling pathway;ko04810//Regulation of actin cytoskeleton;ko04640//Hematopoietic cell lineage;ko05140//Leishmaniasis;ko04514//Cell adhesion molecules;ko04670//Leukocyte transendothelial migration;ko04610//Complement and coagulation cascades;ko05133//Pertussis;ko05221//Acute myeloid leukemia;ko05134//Legionellosis","K06461;K06461;K06461;K06461;K06461;K06461;K06461;K06461;K06461;K06461;K06461;K06461;K06461;K06461;K06461","GO:0008305//integrin complex","-","GO:0007155//cell adhesion","--"
"ENSMUSG00000030789","Itgax","integrin alpha X [Source:MGI Symbol;Acc:MGI:96609]","Human Diseases;Cellular Processes;Organismal Systems","Infectious disease: bacterial;Cell motility;Immune system","ko05152//Tuberculosis;ko04810//Regulation of actin cytoskeleton;ko04610//Complement and coagulation cascades","K06462;K06462;K06462","GO:0008305//integrin complex","-","GO:0007155//cell adhesion","--"
"ENSMUSG00000000290","Itgb2","integrin beta 2 [Source:MGI Symbol;Acc:MGI:96611]","Cellular Processes;Human Diseases;Human Diseases;Human Diseases;Human Diseases;Environmental Information Processing;Organismal Systems;Human Diseases;Cellular Processes;Human Diseases;Human Diseases;Environmental Information Processing;Environmental Information Processing;Organismal Systems;Organismal Systems;Human Diseases;Human Diseases;Human Diseases","Transport and catabolism;Infectious disease: bacterial;Infectious disease: bacterial;Infectious disease: viral;Infectious disease: parasitic;Signal transduction;Immune system;Immune disease;Cell motility;Cardiovascular disease;Infectious disease: parasitic;Signaling molecules and interaction;Signal transduction;Immune system;Immune system;Infectious disease: bacterial;Infectious disease: bacterial;Infectious disease: parasitic","ko04145//Phagosome;ko05152//Tuberculosis;ko05150//Staphylococcus aureus infection;ko05166//Human T-cell leukemia virus 1 infection;ko05146//Amoebiasis;ko04015//Rap1 signaling pathway;ko04650//Natural killer cell mediated cytotoxicity;ko05323//Rheumatoid arthritis;ko04810//Regulation of actin cytoskeleton;ko05416//Viral myocarditis;ko05140//Leishmaniasis;ko04514//Cell adhesion molecules;ko04390//Hippo signaling pathway;ko04670//Leukocyte transendothelial migration;ko04610//Complement and coagulation cascades;ko05133//Pertussis;ko05134//Legionellosis;ko05144//Malaria","K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464","GO:0008305//integrin complex","GO:0038023//signaling receptor activity","GO:0007155//cell adhesion;GO:0007160//cell-matrix adhesion;GO:0007229//integrin-mediated signaling pathway","--"
"ENSMUSG00000000157","Itgb2l","integrin beta 2-like [Source:MGI Symbol;Acc:MGI:1277979]","Cellular Processes;Human Diseases;Human Diseases;Human Diseases;Human Diseases;Environmental Information Processing;Organismal Systems;Human Diseases;Cellular Processes;Human Diseases;Human Diseases;Environmental Information Processing;Environmental Information Processing;Organismal Systems;Organismal Systems;Human Diseases;Human Diseases;Human Diseases","Transport and catabolism;Infectious disease: bacterial;Infectious disease: bacterial;Infectious disease: viral;Infectious disease: parasitic;Signal transduction;Immune system;Immune disease;Cell motility;Cardiovascular disease;Infectious disease: parasitic;Signaling molecules and interaction;Signal transduction;Immune system;Immune system;Infectious disease: bacterial;Infectious disease: bacterial;Infectious disease: parasitic","ko04145//Phagosome;ko05152//Tuberculosis;ko05150//Staphylococcus aureus infection;ko05166//Human T-cell leukemia virus 1 infection;ko05146//Amoebiasis;ko04015//Rap1 signaling pathway;ko04650//Natural killer cell mediated cytotoxicity;ko05323//Rheumatoid arthritis;ko04810//Regulation of actin cytoskeleton;ko05416//Viral myocarditis;ko05140//Leishmaniasis;ko04514//Cell adhesion molecules;ko04390//Hippo signaling pathway;ko04670//Leukocyte transendothelial migration;ko04610//Complement and coagulation cascades;ko05133//Pertussis;ko05134//Legionellosis;ko05144//Malaria","K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464;K06464","GO:0008305//integrin complex","GO:0038023//signaling receptor activity","GO:0007155//cell adhesion;GO:0007160//cell-matrix adhesion;GO:0007229//integrin-mediated signaling pathway","--"
"ENSMUSG00000109764","Klkb1","kallikrein B, plasma 1 [Source:MGI Symbol;Acc:MGI:102849]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K01324","GO:0005576//extracellular region","GO:0004252//serine-type endopeptidase activity;GO:0005515//protein binding","GO:0006508//proteolysis","--"
"ENSMUSG00000022875","Kng1","kininogen 1 [Source:MGI Symbol;Acc:MGI:1097705]","Human Diseases;Environmental Information Processing;Cellular Processes;Environmental Information Processing;Human Diseases;Organismal Systems;Environmental Information Processing;Human Diseases;Organismal Systems","Cancer: overview;Signaling molecules and interaction;Cell motility;Signal transduction;Infectious disease: parasitic;Sensory system;Signal transduction;Infectious disease: parasitic;Immune system","ko05200//Pathways in cancer;ko04080//Neuroactive ligand-receptor interaction;ko04810//Regulation of actin cytoskeleton;ko04022//cGMP-PKG signaling pathway;ko05143//African trypanosomiasis;ko04750//Inflammatory mediator regulation of TRP channels;ko04071//Sphingolipid signaling pathway;ko05142//Chagas disease;ko04610//Complement and coagulation cascades","K03898;K03898;K03898;K03898;K03898;K03898;K03898;K03898;K03898","-","GO:0004869//cysteine-type endopeptidase inhibitor activity","-","--"
"ENSMUSG00000022887","Masp1","mannan-binding lectin serine peptidase 1 [Source:MGI Symbol;Acc:MGI:88492]","Human Diseases;Organismal Systems","Infectious disease: bacterial;Immune system","ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades","K03992;K03992","-","GO:0004252//serine-type endopeptidase activity;GO:0005509//calcium ion binding","GO:0006508//proteolysis","--"
"ENSMUSG00000028979","Masp2","mannan-binding lectin serine peptidase 2 [Source:MGI Symbol;Acc:MGI:1330832]","Human Diseases;Organismal Systems","Infectious disease: bacterial;Immune system","ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades","K03993;K03993","-","GO:0004252//serine-type endopeptidase activity;GO:0005509//calcium ion binding","GO:0001867//complement activation, lectin pathway;GO:0006508//proteolysis","--"
"ENSMUSG00000037780","Mbl1","mannose-binding lectin (protein A) 1 [Source:MGI Symbol;Acc:MGI:96923]","Cellular Processes;Human Diseases;Organismal Systems","Transport and catabolism;Infectious disease: bacterial;Immune system","ko04145//Phagosome;ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades","K03991;K03991;K03991","-","GO:0005537//mannose binding","GO:0001867//complement activation, lectin pathway","--"
"ENSMUSG00000024863","Mbl2","mannose-binding lectin (protein C) 2 [Source:MGI Symbol;Acc:MGI:96924]","Cellular Processes;Human Diseases;Organismal Systems","Transport and catabolism;Infectious disease: bacterial;Immune system","ko04145//Phagosome;ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades","K03991;K03991;K03991","-","GO:0005537//mannose binding","GO:0001867//complement activation, lectin pathway","--"
"ENSMUSG00000031538","Plat","plasminogen activator, tissue [Source:MGI Symbol;Acc:MGI:97610]","Human Diseases;Human Diseases;Environmental Information Processing;Human Diseases;Organismal Systems","Cancer: overview;Cardiovascular disease;Signal transduction;Cancer: specific types;Immune system","ko05202//Transcriptional misregulation in cancer;ko05418//Fluid shear stress and atherosclerosis;ko04371//Apelin signaling pathway;ko05215//Prostate cancer;ko04610//Complement and coagulation cascades","K01343;K01343;K01343;K01343;K01343","GO:0005576//extracellular region","GO:0004252//serine-type endopeptidase activity","GO:0006508//proteolysis;GO:0014909//smooth muscle cell migration;GO:0031639//plasminogen activation","--"
"ENSMUSG00000021822","Plau","plasminogen activator, urokinase [Source:MGI Symbol;Acc:MGI:97611]","Human Diseases;Environmental Information Processing;Human Diseases;Human Diseases;Human Diseases;Organismal Systems","Cancer: overview;Signal transduction;Cancer: overview;Cancer: overview;Cancer: specific types;Immune system","ko05202//Transcriptional misregulation in cancer;ko04064//NF-kappa B signaling pathway;ko05205//Proteoglycans in cancer;ko05206//MicroRNAs in cancer;ko05215//Prostate cancer;ko04610//Complement and coagulation cascades","K01348;K01348;K01348;K01348;K01348;K01348","-","GO:0004252//serine-type endopeptidase activity;GO:0008236//serine-type peptidase activity","GO:0006508//proteolysis;GO:0031639//plasminogen activation","--"
"ENSMUSG00000046223","Plaur","plasminogen activator, urokinase receptor [Source:MGI Symbol;Acc:MGI:97612]","Human Diseases;Organismal Systems","Cancer: overview;Immune system","ko05205//Proteoglycans in cancer;ko04610//Complement and coagulation cascades","K03985;K03985","-","-","-","--"
"ENSMUSG00000059481","Plg","plasminogen [Source:MGI Symbol;Acc:MGI:97620]","Environmental Information Processing;Human Diseases;Human Diseases;Organismal Systems","Signaling molecules and interaction;Infectious disease: bacterial;Infectious disease: viral;Immune system","ko04080//Neuroactive ligand-receptor interaction;ko05150//Staphylococcus aureus infection;ko05164//Influenza A;ko04610//Complement and coagulation cascades","K01315;K01315;K01315;K01315","-","GO:0004252//serine-type endopeptidase activity","GO:0006508//proteolysis","--"
"ENSMUSG00000024386","Proc","protein C [Source:MGI Symbol;Acc:MGI:97771]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K01344","GO:0005576//extracellular region","GO:0004252//serine-type endopeptidase activity;GO:0005509//calcium ion binding","GO:0006508//proteolysis;GO:0007596//blood coagulation","--"
"ENSMUSG00000027611","Procr","protein C receptor, endothelial [Source:MGI Symbol;Acc:MGI:104596]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K06557","-","GO:0038023//signaling receptor activity","-","--"
"ENSMUSG00000022912","Pros1","protein S (alpha) [Source:MGI Symbol;Acc:MGI:1095733]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K03908","GO:0005576//extracellular region","GO:0005509//calcium ion binding","GO:0030195//negative regulation of blood coagulation","--"
"ENSMUSG00000066366","Serpina1a","serine (or cysteine) peptidase inhibitor, clade A, member 1A [Source:MGI Symbol;Acc:MGI:891971]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K03984","GO:0005615//extracellular space","-","-","--"
"ENSMUSG00000071178","Serpina1b","serine (or cysteine) preptidase inhibitor, clade A, member 1B [Source:MGI Symbol;Acc:MGI:891970]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K03984","GO:0005615//extracellular space","-","-","--"
"ENSMUSG00000079015","Serpina1c","serine (or cysteine) peptidase inhibitor, clade A, member 1C [Source:MGI Symbol;Acc:MGI:891969]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K03984","GO:0005615//extracellular space","-","-","--"
"ENSMUSG00000071177","Serpina1d","serine (or cysteine) peptidase inhibitor, clade A, member 1D [Source:MGI Symbol;Acc:MGI:891968]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K03984","GO:0005615//extracellular space","-","-","--"
"ENSMUSG00000072849","Serpina1e","serine (or cysteine) peptidase inhibitor, clade A, member 1E [Source:MGI Symbol;Acc:MGI:891967]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K03984","GO:0005615//extracellular space","-","-","--"
"ENSMUSG00000021081","Serpina1f","serine (or cysteine) peptidase inhibitor, clade A, member 1F [Source:MGI Symbol;Acc:MGI:1915598]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K03984","GO:0005615//extracellular space","-","-","--"
"ENSMUSG00000041550","Serpina5","serine (or cysteine) peptidase inhibitor, clade A, member 5 [Source:MGI Symbol;Acc:MGI:107817]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K03913","GO:0005615//extracellular space","-","-","--"
"ENSMUSG00000062345","Serpinb2","serine (or cysteine) peptidase inhibitor, clade B, member 2 [Source:MGI Symbol;Acc:MGI:97609]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K19821","GO:0005615//extracellular space","GO:0004867//serine-type endopeptidase inhibitor activity","GO:0043066//negative regulation of apoptotic process","--"
"ENSMUSG00000026715","Serpinc1","serine (or cysteine) peptidase inhibitor, clade C (antithrombin), member 1 [Source:MGI Symbol;Acc:MGI:88095]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K03911","GO:0005615//extracellular space","GO:0004867//serine-type endopeptidase inhibitor activity;GO:0008201//heparin binding","GO:0030193//regulation of blood coagulation;GO:2000266//regulation of blood coagulation, intrinsic pathway","--"
"ENSMUSG00000022766","Serpind1","serine (or cysteine) peptidase inhibitor, clade D, member 1 [Source:MGI Symbol;Acc:MGI:96051]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K03912","GO:0005615//extracellular space","GO:0004867//serine-type endopeptidase inhibitor activity","GO:0007596//blood coagulation","--"
"ENSMUSG00000037411","Serpine1","serine (or cysteine) peptidase inhibitor, clade E, member 1 [Source:MGI Symbol;Acc:MGI:97608]","Cellular Processes;Environmental Information Processing;Environmental Information Processing;Environmental Information Processing;Human Diseases;Human Diseases;Organismal Systems;Cellular Processes","Cell growth and death;Signal transduction;Signal transduction;Signal transduction;Infectious disease: parasitic;Endocrine and metabolic disease;Immune system;Cell growth and death","ko04218//Cellular senescence;ko04390//Hippo signaling pathway;ko04371//Apelin signaling pathway;ko04066//HIF-1 signaling pathway;ko05142//Chagas disease;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko04610//Complement and coagulation cascades;ko04115//p53 signaling pathway","K03982;K03982;K03982;K03982;K03982;K03982;K03982;K03982","GO:0005615//extracellular space","-","-","--"
"ENSMUSG00000038224","Serpinf2","serine (or cysteine) peptidase inhibitor, clade F, member 2 [Source:MGI Symbol;Acc:MGI:107173]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K03983","GO:0005615//extracellular space","GO:0004867//serine-type endopeptidase inhibitor activity","GO:0051918//negative regulation of fibrinolysis","--"
"ENSMUSG00000023224","Serping1","serine (or cysteine) peptidase inhibitor, clade G, member 1 [Source:MGI Symbol;Acc:MGI:894696]","Organismal Systems;Human Diseases","Immune system;Infectious disease: bacterial","ko04610//Complement and coagulation cascades;ko05133//Pertussis","K04001;K04001","GO:0005615//extracellular space","GO:0004867//serine-type endopeptidase inhibitor activity","GO:0030193//regulation of blood coagulation;GO:0045916//negative regulation of complement activation","--"
"ENSMUSG00000038576","Susd4","sushi domain containing 4 [Source:MGI Symbol;Acc:MGI:2138351]","-","-","-","-","-","-","GO:0030449//regulation of complement activation","--"
"ENSMUSG00000027082","Tfpi","tissue factor pathway inhibitor [Source:MGI Symbol;Acc:MGI:1095418]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K03909","GO:0005576//extracellular region","GO:0004867//serine-type endopeptidase inhibitor activity;GO:0030414//peptidase inhibitor activity","GO:0010466//negative regulation of peptidase activity","--"
"ENSMUSG00000074743","Thbd","thrombomodulin [Source:MGI Symbol;Acc:MGI:98736]","Human Diseases;Human Diseases;Organismal Systems","Cardiovascular disease;Endocrine and metabolic disease;Immune system","ko05418//Fluid shear stress and atherosclerosis;ko04933//AGE-RAGE signaling pathway in diabetic complications;ko04610//Complement and coagulation cascades","K03907;K03907;K03907","GO:0005887//integral component of plasma membrane;GO:0016021//integral component of membrane","GO:0004888//transmembrane signaling receptor activity;GO:0005509//calcium ion binding","GO:0030195//negative regulation of blood coagulation","--"
"ENSMUSG00000044206","VSIG4","V-set and immunoglobulin domain containing 4 [Source:MGI Symbol;Acc:MGI:2679720]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K19822","-","-","GO:0032703//negative regulation of interleukin-2 production;GO:0042130//negative regulation of T cell proliferation;GO:0043031//negative regulation of macrophage activation","--"
"ENSMUSG00000017344","Vtn","vitronectin [Source:MGI Symbol;Acc:MGI:98940]","Environmental Information Processing;Human Diseases;Human Diseases;Cellular Processes;Organismal Systems;Environmental Information Processing","Signal transduction;Infectious disease: viral;Cancer: overview;Cellular community - eukaryotes;Immune system;Signaling molecules and interaction","ko04151//PI3K-Akt signaling pathway;ko05165//Human papillomavirus infection;ko05205//Proteoglycans in cancer;ko04510//Focal adhesion;ko04610//Complement and coagulation cascades;ko04512//ECM-receptor interaction","K06251;K06251;K06251;K06251;K06251;K06251","-","GO:0005044//scavenger receptor activity;GO:0030247//polysaccharide binding","GO:0006955//immune response","--"
"ENSMUSG00000001930","Vwf","Von Willebrand factor [Source:MGI Symbol;Acc:MGI:98941]","Environmental Information Processing;Human Diseases;Cellular Processes;Organismal Systems;Organismal Systems;Environmental Information Processing","Signal transduction;Infectious disease: viral;Cellular community - eukaryotes;Immune system;Immune system;Signaling molecules and interaction","ko04151//PI3K-Akt signaling pathway;ko05165//Human papillomavirus infection;ko04510//Focal adhesion;ko04611//Platelet activation;ko04610//Complement and coagulation cascades;ko04512//ECM-receptor interaction","K03900;K03900;K03900;K03900;K03900;K03900","-","GO:0005515//protein binding","-","--"
"ENSMUSG00000028329","Xpa","xeroderma pigmentosum, complementation group A [Source:MGI Symbol;Acc:MGI:99135]","Human Diseases;Genetic Information Processing","Drug resistance: antineoplastic;Replication and repair","ko01524//Platinum drug resistance;ko03420//Nucleotide excision repair","K10847;K10847","-","GO:0003684//damaged DNA binding","GO:0006289//nucleotide-excision repair","Others"
"ENSMUSG00000030094","Xpc","xeroderma pigmentosum, complementation group C [Source:MGI Symbol;Acc:MGI:103557]","Genetic Information Processing","Replication and repair","ko03420//Nucleotide excision repair","K10838","GO:0005634//nucleus","GO:0003677//DNA binding;GO:0003684//damaged DNA binding","GO:0006289//nucleotide-excision repair","--"
"ENSMUSG00000051768","Xrcc1","X-ray repair complementing defective repair in Chinese hamster cells 1 [Source:MGI Symbol;Acc:MGI:99137]","Genetic Information Processing","Replication and repair","ko03410//Base excision repair","K10803","GO:0005634//nucleus","GO:0003684//damaged DNA binding","GO:0000012//single strand break repair","--"
"ENSMUSG00000028933","Xrcc2","X-ray repair complementing defective repair in Chinese hamster cells 2 [Source:MGI Symbol;Acc:MGI:1927345]","Genetic Information Processing","Replication and repair","ko03440//Homologous recombination","K10879","GO:0005657//replication fork;GO:0033063//Rad51B-Rad51C-Rad51D-XRCC2 complex","GO:0003677//DNA binding;GO:0005524//ATP binding;GO:0008094//DNA-dependent ATPase activity","GO:0000724//double-strand break repair via homologous recombination;GO:0006281//DNA repair","--"
"ENSMUSG00000021287","Xrcc3","X-ray repair complementing defective repair in Chinese hamster cells 3 [Source:MGI Symbol;Acc:MGI:1921585]","Genetic Information Processing","Replication and repair","ko03440//Homologous recombination","K10880","-","GO:0003677//DNA binding;GO:0005524//ATP binding;GO:0008094//DNA-dependent ATPase activity","GO:0006281//DNA repair","--"
"ENSMUSG00000021615","Xrcc4","X-ray repair complementing defective repair in Chinese hamster cells 4 [Source:MGI Symbol;Acc:MGI:1333799]","Genetic Information Processing","Replication and repair","ko03450//Non-homologous end-joining","K10886","GO:0005634//nucleus","GO:0003677//DNA binding","GO:0006302//double-strand break repair;GO:0006310//DNA recombination","--"
